Artikel	Nomen	Plural	Bedeutung_KO	Bedeutung_EN	Beispiel	Beispiel_Bedeutung
die	Telefonnummer	Telefonnummern	전화번호	phone number	Diese Telefonnummer kann man sich gut merken.	이 전화번호는 기억하기가 쉽다
die	Anmeldung	Anmeldungen	등록,신고,등록 서류	registration,application, reception, login	Zeigen Sie Ihre Anmeldung dem Beamten.	직원에게 서류를 보여주세요.
die	Adresse	Adressen	주소, 청원서	address	Diese Seite nur für Name und Adresse benutzen!	이 페이지에는 이름과 주소만 쓸 것!
die	Frau	Frauen	여성,아내,여사	woman, wife, Ms.	Wenn frau sich kennt, braucht sie nicht vor sich wegzulaufen.	그녀가 자신을 안다면, 도망갈 필요가 없다.
die	Gitarre	Gitarren	(악기)기타	guitar	An einem Lagerfeuer darf die Gitarre nicht fehlen.	캠프파이어에서 기타가 빠지면 안돼.
die	Information	Informationen	정보, 안내소	information	Mit so wenigen Informationen kann man nur eine Milchmädchenrechnung aufmachen.	그렇게 적은 정보만으로는 잘못된 계산만 나올것이다.
die	Familie	Familien	가족,가정	family	Sonntags sitzt die ganze Familie bei Tisch und isst gemeinsam.	일요일마다 모든 가족이 식탁에 둘러앉아 함께 식사를 합니다.
der	Raum	Räume	방, 공간	room, area, space	Die Band hat bisher keinen geeigneten Raum zum Üben gefunden.	밴드는 지금까지 연습에 필요한 적절한 공간을 찾지 못했었다.
der	Mann	Männer	남성, 남편, 사람	man, husband, fellow	Er ist ein kluger Mann.	그는 현명한 사람이다.
der	Wohnort	Wohnorte	거주지	residence	Wegen beruflicher Veränderung musste er auch seinen Wohnort wechseln.	그는 업무상 변동때문에 거주지를 변경해야 했다.
der	Buchstabe	Buchstaben	문자,활자	letter, charactor	Das große „A“ ist ein Buchstabe der deutschen Sprache.	대문자 'A'는 독일어 문자중 하나이다.
der	Flughafen	Flughäfen	공항	airport	Für uns am nächsten ist der Flughafen Hannover	우리에겐 하노버 공항이 제일 가까워.
der	Herr	Herren	(남자)씨,님,지배자	master, lord, Mr. 	Wie geht es Ihnen heute, Herr Müller?	어떻게 지내시나요 Müller 씨?
der	Kurs	Kurse	시세, 강좌, 진로	price, course, bearing	Das Schiff nahm Kurs auf den Hafen.	그 배는 항로를 항구로 향했다.
der	Kaffeeautomat	Kaffeeautomaten	커피자판기	coffee machine	Zudem gibt es hier ein Studierendencafé mit einem Kaffeeautomaten und einen größeren Aufenthaltsraum für die Studierenden.	그 외에도 커피머신이 구비된 학생카페와 학생들을 위한 라운지가 있습니다.
der	Kaffee	Kaffees	커피	coffee	Ich trinke eine Tasse Kaffee.	나는 커피 한잔을 마신다.
der	Name	Namen	이름,명칭	name	Wie ist dein Name?	너 이름이 뭐니?
das	Geld	Gelder	돈,재산,화폐	money, cash, fund	Zeit ist Geld.	시간이 돈이다.
die	Sprache	Sprachen	말, 언어	language, speech	Ich spreche mehrere Sprachen.	나는 여러 언어를 말한다.
die	Nacht	Nächte	밤, 암흑	night	In der Nacht habe ich ein Geräusch auf dem Hof gehört.	밤에 마당에서 소리를 들었다.
die	Sonne	Sonnen	태양,햇살	sun	Die Sonne geht auf.	해가 뜬다.
die	Wolke	Wolken	구름	cloud	Der Himmel ist mit Wolken bedeckt.	하늘이 구름으로 덮어있다.
die	Uhr	Uhren	시간,시계	clock, watch	Wieviel Uhr ist es?	몇시에요?
der	Mond	Monde	달	moon	Phobos und Deimos sind die beiden Monde des Mars.	포보스와 데이모스 둘다 화성의 달(위성)입니다.
der	Tag	Tage	낮, 주간, 하루	day, date	Die Woche hat sieben Tage.	일주일은 7일이다.
der	Wein	Weine	포도주, 와인	wine	Du trinkst lieber Wein als Bier.	너는 맥주보다 와인을 더 좋아한다.
der	Tee	Tees	차	tee	Kaffee und Tee sind beliebte Getränke.	커피와 차는 가장 사랑받는 음료이다.
das	Frühstück	Frühstücke	아침식사	breakfast	Zum Frühstück isst Jutta täglich eine Schüssel Müsli.	Jutta는 매일 아침식사로 시리얼 한그릇을 먹는다.
das	Mittagessen	Mittagessen	점심식사	lunch	Nach dem Mittagesssen wurde der Unterricht fortgesetzt.	점심식사 이후에 수업이 계속되었다.
das	Abendessen	Abendessen	저녁식사	dinner	Zum Abendessen gibt es heute einen besonders guten Wein.	오늘 저녁에는 특히 좋은 와인이 있습니다.
das	Wasser	Wässer	물	water	Wenn es heiß ist, trinke ich gern Wasser.	나는 더울때 물 마시는걸 좋아합니다.
das	Bier	Biere	맥주	beer	In Deutschland gibt es über 5000 Biere.	독일에는 5000가지가 넘는 맥주가 있습니다.
die	Lektion	Lektionen	강의, 교과서의 장	lesson	Heute behandeln wir in unserem Lehrbuch die Lektion 10.	오늘은 교과서 10장에 대해서 다룰거에요.
die	Seite	Seiten	쪽, 면, 옆쪽	page, site, side	Er wich zur Seite aus.	그는 옆으로 피했다.
die	Übung	Übungen	연습문제, 훈련, 과제	exercise, practice,  tutorial	Übung macht den Meister.	연습이 장인을 만든다.
die	Aufgabe	Aufgaben	과제,임무	task, function	Meine vordringlichste Aufgabe ist es jetzt, mich um die Kinder zu kümmern.	나에게 지금 가장 중요한 일은 아이들을 돌보는 것이다.
die	Antwort	Antworten	대답, 응답	answer, response	Ich erwarte eine Antwort auf meine Frage!	내 질문에 대한 답변을 기다리겠습니다.
die	Hausaufgabe	Hausaufgaben	숙제	homework	Hast du deine Hausaufgaben schon gemacht?	너 숙제했어?
die	Frage	Fragen	질문, 문제	question, issue, problem	Ich stellte ihr eine Frage.	나는 그녀에게 질문을 했다.
der	Satz	Sätze	문장, 정리, 악장	sentence, clause, phrase	Er las den Brief noch einmal Satz für Satz.	그는 그 편지를 한문장 한문장 다시 읽었다.
der	Dialog	Dialoge	대화, 문답	dialogue	Dialoge besitzen meist nur eine OK- und Abbrechen-Schaltfläche.	대화상자에는 대부분 확인과 취소버튼만 있습니다.
die	Oper	Opern	오페라	opera, opera house	Heute Abend gehen wir in die Oper.	오늘저녁에 우리는 오페가 극장에 간다.
die	Person	Personen	사람, 몸	person, mensch	Die Person kann ich nicht ausstehen.	나는 그사람을 참을 수 없다.
die	Musik	Musiken	음악	music	Magst du moderne Musik?	현대음악을 좋아하니?
